Lorg/json/JSONObject;->getString
Landroid/app/AlertDialog$Builder;-><init>
Landroid/app/AlertDialog$Builder;->setMessage
Landroid/app/AlertDialog$Builder;->setTitle
Landroid/app/AlertDialog$Builder;->setPositiveButton
Landroid/app/AlertDialog$Builder;->create
Landroid/content/Context;->sendBroadcast
Ljava/lang/String;->toCharArray
Landroid/content/Intent;->setData
Ljava/io/BufferedReader;-><init>
Ljava/io/BufferedReader;->readLine
Landroid/widget/Button;->setOnClickListener
Landroid/content/SharedPreferences;->getInt
Ljava/lang/String;->replace
Landroid/content/pm/ApplicationInfo;->loadLabel
Landroid/content/Intent;->setFlags
Lorg/apache/http/StatusLine;->getStatusCode
Lorg/apache/http/HttpEntity;->getContent
Lorg/apache/http/HttpResponse;->getStatusLine
Lorg/apache/http/HttpResponse;->getEntity
Ljava/lang/Thread;->start
Landroid/content/res/Resources;->openRawResource
Landroid/app/AlertDialog$Builder;->setNegativeButton
Landroid/widget/RemoteViews;->setTextColor
Ljava/lang/Thread;->sleep
Landroid/app/AlertDialog$Builder;->show
Landroid/content/pm/PackageManager;->getInstalledPackages
Landroid/app/PendingIntent;->getService
Ljava/lang/Runtime;->exec
Ljava/lang/Process;->getInputStream
Ljava/io/InputStreamReader;-><init>
Lorg/apache/cordova/PluginResult;-><init>
Landroid/widget/Toast;->makeText
Landroid/widget/Toast;->show
Lorg/json/JSONArray;->getJSONArray
Lorg/json/JSONArray;->isNull
Landroid/os/CountDownTimer;-><init>
Landroid/os/CountDownTimer;->cancel
Landroid/content/DialogInterface;->cancel
Lorg/apache/cordova/LOG;->d
Landroid/app/Activity;->onCreateOptionsMenu
Lorg/json/JSONArray;->optBoolean
Lorg/json/JSONArray;->optLong
Ljava/io/FileInputStream;->getChannel
Landroid/content/res/AssetFileDescriptor;->getStartOffset
Ljava/nio/channels/FileChannel;->size
Landroid/content/res/AssetManager;->openFd
Landroid/content/res/AssetFileDescriptor;->getLength
Landroid/app/Activity;->getContentResolver
Landroid/media/Ringtone;->isPlaying
Landroid/widget/EditText;->setTextColor
Landroid/app/ProgressDialog;->setProgressStyle
Landroid/app/ProgressDialog;->setMax
Landroid/app/ProgressDialog;->setProgress
Landroid/webkit/WebView;->goBack
Landroid/content/ActivityNotFoundException;->toString
Landroid/widget/EditText;->setId
Landroid/widget/EditText;->setOnKeyListener
Landroid/webkit/WebSettings;->setPluginState
Landroid/webkit/WebSettings;->setLoadWithOverviewMode
Landroid/webkit/WebView;->requestFocusFromTouch
Landroid/widget/EditText;->getWindowToken
Landroid/preference/PreferenceManager;->getDefaultSharedPreferences
Landroid/content/res/AssetManager;->list
Landroid/provider/Settings$System;->getInt
Landroid/hardware/Sensor;->getType
Landroid/location/Criteria;->setAccuracy
Landroid/graphics/PointF;-><init>
Lorg/apache/http/NameValuePair;->getName
Lorg/apache/http/NameValuePair;->getValue
Landroid/text/SpannableString;->length
Ljava/nio/ByteBuffer;->capacity
Ljava/net/MalformedURLException;->printStackTrace
Landroid/opengl/GLES20;->glTexParameteri
Ljava/nio/ByteBuffer;->getDouble
Ljava/nio/ByteBuffer;->getFloat
Ljava/nio/ByteBuffer;->getShort
Ljava/nio/ByteBuffer;->putDouble
Ljava/nio/ByteBuffer;->putFloat
Landroid/widget/SeekBar;->setOnSeekBarChangeListener
Landroid/widget/SeekBar;->getProgress
Landroid/widget/SeekBar;->setProgress
Landroid/app/DatePickerDialog;-><init>
Ljava/util/Calendar;->set
Landroid/widget/TimePicker;->setCurrentMinute
Landroid/content/res/AssetFileDescriptor;->getFileDescriptor
Landroid/webkit/MimeTypeMap;->getFileExtensionFromUrl
